REG_NAME,COUNTRY_NAME
NORTH AMERICA,UNITED STATES OF AMERICA
NORTH AMERICA,CANADA
NORTH AMERICA,BERMUDA
NORTH AMERICA,GREENLAND
NORTH AMERICA,ST.PIERRA & MIQUELON
LATIN AMERICA,CHILE
LATIN AMERICA,BRAZIL
LATIN AMERICA,CAYMAN ISLANDS
LATIN AMERICA,MEXICO
LATIN AMERICA,COLOMBIA
LATIN AMERICA,ARGENTINA
LATIN AMERICA,PUERTO RICO
LATIN AMERICA,PERU
LATIN AMERICA,TRINIDAD & TOBAGO
LATIN AMERICA,URUGUAY
LATIN AMERICA,BARBADOS
LATIN AMERICA,BAHAMAS
LATIN AMERICA,COSTA RICA
LATIN AMERICA,ECUADOR
LATIN AMERICA,JAMAICA
LATIN AMERICA,PANAMA
LATIN AMERICA,VENEZUELA
LATIN AMERICA,WEST INDIES
LATIN AMERICA,HAITI
LATIN AMERICA,DOMINICA
LATIN AMERICA,GUATEMALA
LATIN AMERICA,ST.LUCIA
LATIN AMERICA,DOMINICAN REPUBLIC
LATIN AMERICA,EL SALVADOR
LATIN AMERICA,HONDURAS
LATIN AMERICA,ANGULLA
LATIN AMERICA,ANTIGUA & BARBUDA
LATIN AMERICA,ARUBA
LATIN AMERICA,BELIZE
LATIN AMERICA,BOLIVIA
LATIN AMERICA,BRITISH VIRGIN ISLANDS
LATIN AMERICA,CUBA
LATIN AMERICA,FRENCH GUIANA
LATIN AMERICA,GRENADA
LATIN AMERICA,GUADELOUPE
LATIN AMERICA,GUYANA
LATIN AMERICA,LIECHTENSTEIN
LATIN AMERICA,MARTINIQUE
LATIN AMERICA,MONTSERRAT
LATIN AMERICA,NETHERLANDS ANTILLAS
LATIN AMERICA,NICARAGUA
LATIN AMERICA,PANAMA C Z
LATIN AMERICA,PARAGUAY
LATIN AMERICA,ST.CHIRSTOPHER & NEVIS
LATIN AMERICA,ST.HELENA
LATIN AMERICA,ST.KITT NEVISH BUILLA
LATIN AMERICA,ST.VINCENT/GRENDINES
LATIN AMERICA,SURINAM
LATIN AMERICA,TURKS & CAICOS IS.
LATIN AMERICA,VIRGIN IS US
EUROPE,UNITED KINGDOM
EUROPE,NETHERLANDS
EUROPE,GERMANY
EUROPE,FINLAND
EUROPE,FRANCE
EUROPE,SWEDEN
EUROPE,DENMARK
EUROPE,IRELAND
EUROPE,BELGIUM
EUROPE,ITALY
EUROPE,LUXEMBERG
EUROPE,HUNGARY
EUROPE,SPAIN
EUROPE,POLAND
EUROPE,AUSTRIA
EUROPE,CYPRUS
EUROPE,CZECH REPUBLIC
EUROPE,GREECE
EUROPE,PORTUGAL
EUROPE,SLOVAK REP
EUROPE,LITHUANIA
EUROPE,SLOVENIA
EUROPE,ESTONIA
EUROPE,LATVIA
EUROPE,MALTA
EUROPE,SERBIA MONTENEGRO
NON EU COUNTRIES,SWITZERLAND
NON EU COUNTRIES,NORWAY
NON EU COUNTRIES,GIBRALTAR
NON EU COUNTRIES,ROMANIA
NON EU COUNTRIES,BULGARIA
NON EU COUNTRIES,MONACO
NON EU COUNTRIES,SERBIA  
NON EU COUNTRIES,ICELAND
NON EU COUNTRIES,ALBANIA
NON EU COUNTRIES,ANDORRA
NON EU COUNTRIES,BOSNIA-HRZGOVIN
NON EU COUNTRIES,BOUVET ISLAND
NON EU COUNTRIES,CHANNEL IS
NON EU COUNTRIES,FAEROE ISLANDS
NON EU COUNTRIES,MACEDONIA
NON EU COUNTRIES,SANMARINO
NON EU COUNTRIES,SCOTLAND
NON EU COUNTRIES,SVAL AND JANMAYEH
NON EU COUNTRIES,VATICAN CITY STATE
NON EU COUNTRIES,YUGOSLAVIA
RUSSIA & CIS,RUSSIA
RUSSIA & CIS,KAZAKHSTAN
RUSSIA & CIS,ARMENIA
RUSSIA & CIS,UKRAINE
RUSSIA & CIS,CROATIA
RUSSIA & CIS,AZERBAIJAN
RUSSIA & CIS,BELARUS
RUSSIA & CIS,GEORGIA
RUSSIA & CIS,KYRGHYZSTAN
RUSSIA & CIS,MOLDVIA
RUSSIA & CIS,TAJIKISTAN
RUSSIA & CIS,TURKMENISTAN
RUSSIA & CIS,UZBEKISTAN
AFRICA,MAURITIUS
AFRICA,SOUTH AFRICA
AFRICA,TANZANIA UNITED REP.
AFRICA,MOROCCO
AFRICA,KENYA
AFRICA,ETHIOPIA
AFRICA,UGANDA
AFRICA,NIGERIA
AFRICA,GHANA
AFRICA,EGYPT
AFRICA,ZAMBIA
AFRICA,BOTSWANA
AFRICA,TUNISIA
AFRICA,GABON
AFRICA,ANGOLA
AFRICA,MALAWI
AFRICA,SENEGAL
AFRICA,CONGO D. REP.
AFRICA,NAMIBIA
AFRICA,RWANDA
AFRICA,CAMEROON
AFRICA,SEYCHELLES
AFRICA,CHAD
AFRICA,ALGERIA
AFRICA,IVORY COAST / COTE D IVORY
AFRICA,MADAGASCAR
AFRICA,MOZAMBIQUE
AFRICA,GUINEA
AFRICA,REUNION
AFRICA,ZIMBABWE
AFRICA,CANARY ISLAND
AFRICA,CAMEROON UNITED REP.
AFRICA,LIBYAN ARAB
AFRICA,LIBERIA
AFRICA,BURKINA FASO
AFRICA,DJIBOUTI
AFRICA,BENIN
AFRICA,BURUNDI
AFRICA,CAPE VARDE
AFRICA,CENTRAL AFRICAN REPUBLIC
AFRICA,CEUTA
AFRICA,COMOROS
AFRICA,CONGO
AFRICA,EQUATORIAL GUINEA
AFRICA,ERITREA
AFRICA,FALKLAND IS.(MALVINAS)
AFRICA,GAMBIA
AFRICA,GUINEA BISSAU
AFRICA,HEARLD & UMCDONALD IS
AFRICA,LESOTHO
AFRICA,MALAGASAY REP.
AFRICA,MALI
AFRICA,MAURITANIA
AFRICA,NABIDJAN
AFRICA,NIGER
AFRICA,OTHER EAST AFRICAN COUNTRY
AFRICA,SAHARWI A.DM RP
AFRICA,SAO TOME & PRINCIPAL
AFRICA,SIERRA LEONE
AFRICA,SOMALIA
AFRICA,SUDAN
AFRICA,SWAZILAND
AFRICA,TOGO
AFRICA,UPPER VOLTA
AFRICA,WESTERN SAHARA
AFRICA,ZAIRE
MIDDLE EAST,SAUDI ARABIA
MIDDLE EAST,UNITED ARAB EMIRATES
MIDDLE EAST,ISRAEL
MIDDLE EAST,QATAR
MIDDLE EAST,KUWAIT
MIDDLE EAST,TURKEY
MIDDLE EAST,BAHRAIN
MIDDLE EAST,JORDAN
MIDDLE EAST,OMAN
MIDDLE EAST,LEBANON
MIDDLE EAST,IRAQ
MIDDLE EAST,YEMEN ARAB REPUBLIC
MIDDLE EAST,GAZA STRIP
MIDDLE EAST,IRAN ISLAMIC REP.OF
MIDDLE EAST,SYRIAN ARAB REPUBLIC
SOUTH EAST ASIA,SINGAPORE
SOUTH EAST ASIA,MALAYSIA
SOUTH EAST ASIA,HONG KONG
SOUTH EAST ASIA,PHILIPPINES
SOUTH EAST ASIA,THAILAND
SOUTH EAST ASIA,INDONESIA
SOUTH EAST ASIA,MACAU
SOUTH EAST ASIA,BANGLADESH
SOUTH EAST ASIA,SRI LANKA
SOUTH EAST ASIA,PAKISTAN
SOUTH EAST ASIA,VIETNAM
SOUTH EAST ASIA,NEPAL
SOUTH EAST ASIA,CAMBODIA
SOUTH EAST ASIA,LAO PEP.DEM.REP
SOUTH EAST ASIA,BHUTAN
SOUTH EAST ASIA,MALDIVES
SOUTH EAST ASIA,BRUNEI
SOUTH EAST ASIA,MYANMAR
SOUTH EAST ASIA,AFGHANISTAN
SOUTH EAST ASIA,BURMA
SOUTH EAST ASIA,CABO VERDE
SOUTH EAST ASIA,CHRISTMAS IS (AUS)
SOUTH EAST ASIA,COCOS (KEELING ISLANDS)
SOUTH EAST ASIA,EAST TIMOR
SOUTH EAST ASIA,INDIA
SOUTH EAST ASIA,LAGOS
SOUTH EAST ASIA,N.MARINANA ISLAND
SOUTH EAST ASIA,SABAH
SOUTH EAST ASIA,SARAWAK
FAR EAST,JAPAN
FAR EAST,CHINA
FAR EAST,KOREA REPUBLIC OF
FAR EAST,CHINESE TAIPEI
FAR EAST,MONGOLIA
FAR EAST,CHIENESE TAIPEI (TAIWAN)
FAR EAST,FAR EAST COUNTRIES
FAR EAST,KOREA DEM.REP.OF
FAR EAST,PECIFIC ISLAND (TRUST TR)
FAR EAST,VANUATU REP
OCEANIC,AUSTRALIA
OCEANIC,NEW ZEALAND
OCEANIC,PAPUA NEW GUINEA
OCEANIC,GUAM
OCEANIC,AMERICAN SAMOA
OCEANIC,CANTON & ENDERBURY IS.
OCEANIC,COOK ISLAND
OCEANIC,FIJI
OCEANIC,FRENCH POLYNESIA
OCEANIC,JOHNSTON IS.
OCEANIC,KIRIBATI
OCEANIC,MARSHALL ISLAND
OCEANIC,MICRONESIA
OCEANIC,MIDWAY ISLAND
OCEANIC,NAURU
OCEANIC,NEW CALEDONIA
OCEANIC,NIUE
OCEANIC,NORFOLK ISLANDS
OCEANIC,OCEANIC COUNTRIES
OCEANIC,PITCAIRAN IS
OCEANIC,SAMOA
OCEANIC,SOCIETY ISLANDS
OCEANIC,SOLOMON ISLAND
OCEANIC,PALAU
OCEANIC,TOKELAU
OCEANIC,TONGA
OCEANIC,TUVALU
OCEANIC,VANUATU
OCEANIC,WAKE ISLAND
OCEANIC,WALLIS & PUTUNA IS
